Adjusted_ID,GPA_Fall ,Sex,Cohort ,Athlete_Team,Major_Fall,Total_Attendance,TW1_Attendance,Social_1,Emotional_1,Academic_1,Athletic_1,TW2_Attendance,Social_2,Emotional_2,Academic_2,Athletic_2,TW3_Attendance,Social_3,Emotional_3,Academic_3,Athletic_3,TW4_Attendance,Social_4,Emotional_4,Academic_4,Athletic_4
242501,3.6,1,3,Ice Hockey,2,2,1,5,4,2,4,1,5,4,4,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA
242502,2.6,1,3,Lacrosse,2,2,1,5,5,5,5,0,NA,NA,NA,NA,1,2,2,2,2,0,NA,NA,NA,NA
242503,3.94,1,3,Track/Cross Country,2,4,1,5,4,5,4,1,5,4,5,5,1,5,5,5,5,1,5,4,5,5
242504,3.48,2,3,Softball,3,4,1,5,4,4,4,1,5,4,4,4,1,5,4,4,4,1,5,5,4,5
242505,2.91,1,3,Lacrosse,0,3,1,5,4,4,4,0,NA,NA,NA,NA,1,4,4,4,4,1,5,4,4,4
242506,3.04,1,3,Soccer,2,3,1,3,2,3,2,1,2,2,2,2,1,2,2,2,2,0,NA,NA,NA,NA
242507,2.52,1,3,Lacrosse,3,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4
242508,3.93,1,3,Lacrosse,3,4,1,5,5,4,4,1,5,4,5,4,1,5,5,4,4,1,5,5,4,4
242509,3.75,1,3,Track/Cross Country,3,3,1,4,2,4,4,1,5,4,4,4,1,4,4,4,4,0,NA,NA,NA,NA
2425010,3.94,2,3,Volleyball,0,4,1,5,4,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5
2425011,3.7,2,3,Golf,3,4,1,5,4,4,4,1,5,4,4,5,1,5,4,4,4,1,5,5,5,5
2425012,3.71,1,3,Track/Cross Country,1,4,1,4,4,3,5,1,4,4,3,4,1,4,4,4,5,1,4,4,4,5
2425013,3.67,2,3,Equestrian,0,4,1,2,2,2,2,1,4,4,4,4,1,2,4,4,4,1,4,4,4,4
2425014,3.45,1,3,Track/Cross Country,3,4,1,4,4,3,4,1,5,5,4,4,1,5,5,4,5,1,5,5,5,4
2425015,2.94,2,3,Equestrian,3,4,1,2,1,1,3,1,3,1,1,3,1,3,1,1,2,1,3,3,1,1
2425016,3.54,2,3,Swimming and Diving,3,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4,1,2,4,4,4
2425017,3.37,2,3,Track/Cross Country,3,3,1,4,4,3,5,0,NA,NA,NA,NA,1,4,4,4,5,1,4,4,4,5
2425018,3.15,2,3,Track/Cross Country,2,4,1,5,5,4,5,1,5,4,4,4,1,5,5,4,4,1,5,4,4,4
